automations
id,name

emails
id,name,subject,sent,delivered,opened,clicked,unsubscribed

facebook_business_accounts
id,business_id,ad_account_id,page_id

feedback_entries
id,feedback

groups
id,name,import_settings,smart_group_settings,sent,delivered,opened,clicked,unsubscribed
c7575843-54c7-4fa1-8afd-8e7fefed0e80,"Age Check Pop-up",popup_fifty,"{""type"":""popup"",""subtype"":""50-50"",""goalType"":""age_verification"",""display"":{""content"":{""title"":""Are you of legal age?"",""description"":""By entering this website, you agree that you're of legal age."",""first_name_label"":""First"",""last_name_label"":""Last"",""email_label"":""Email Address"",""birthday_month_label"":""Month"",""birthday_label"":""Birthday"",""button_text"":""Yes"",""secondary_button_text"":""No"",""dismiss_link"":""No Thanks!""},""optionalContent"":{""title"":true,""text"":true,""name"":false,""birthday"":false,""actionButton"":true,""dismissLink"":true,""closeIcon"":false},""textDisplay"":{""confirmation"":{""size"":""16px"",""lineHeight"":""24px"",""letterSpacing"":""0px"",""font"":""Karla, Sans Serif""},""title"":{""size"":""24px"",""lineHeight"":""32px"",""letterSpacing"":""0px"",""align"":""left"",""font"":""Karla, Sans Serif""},""text"":{""size"":""16px"",""lineHeight"":""24px"",""letterSpacing"":""0px"",""align"":""left"",""font"":""Karla, Sans Serif""},""button"":{""font"":""Karla, Sans Serif"",""lineHeight"":""40px"",""letterSpacing"":""0px"",""size"":""16px""},""dismissLink"":{""size"":""16px""}},""colors"":{""title"":""rgb(0,0,0)"",""text"":""rgb(0,0,0)"",""anchor"":""rgb(255,255,255)"",""anchor_icon"":""rgb(255,255,255)"",""anchor_text"":""rgb(255,255,255)"",""input_border"":""rgb(201,205,207)"",""input_text"":""rgb(0,0,0)"",""button"":""rgb(0,0,0)"",""button_text"":""rgb(255,255,255)"",""secondary_button"":""rgb(0,0,0)"",""dismiss_text"":""rgb(0,0,0)"",""closeIcon"":""rgb(255,255,255)"",""background"":""rgba(255,255,255,1)""},""image"":{""originalImgUrl"":""\/\/p.weebly.com\/lead-form\/50-50-placeholder.png"",""src"":""\/\/p.weebly.com\/lead-form\/50-50-placeholder.png"",""position"":null,""scale"":null,""height"":null,""width"":null},""overlay"":100},""confirmation"":{""value"":""Sorry, you do not meet the age requirements to access this site."",""linkType"":null,""type"":""message"",""linkName"":null,""newTab"":false},""anchor"":{""style"":""icon"",""align"":""right"",""text"":""Subscribe to our Newsletter""},""control"":{""exitIntent"":false,""timing"":{""type"":{""timer"":true,""scroll"":false},""delay"":{""timer"":0}},""displayLimit"":0,""stoppingConditions"":{""untilClosed"":true,""untilActionBtnClicked"":false},""duration"":{""enabled"":false,""start"":null,""end"":null},""deviceTypes"":""all"",""optIn"":true},""notification_emails"":null,""is_new"":true,""features"":{""hasLegacyTextLineHeight"":false,""hasLegacyTextLetterSpacing"":false,""hasLegacyTextFontSize"":false,""hasLegacyTitleLineHeight"":false,""hasLegacyTitleLetterSpacing"":false,""hasLegacyTitleFontSize"":false,""hasLegacyAlignment"":false,""hasLegacyButtonFontSize"":false,""hasLegacyButtonLineHeight"":false,""hasLegacyButtonLetterSpacing"":false,""hasLegacyConfirmationFontSize"":false,""hasLegacyConfirmationLineHeight"":false,""hasLegacyConfirmationLetterSpacing"":false,""hasLegacyFontSelection"":false}}"
001f8908-3493-46ef-802f-c8f27fa450f3,"Email Collection Pop-up",welcome-mat_photo-background,"{""type"":""welcome-mat"",""subtype"":""photo-background"",""goalType"":""email"",""display"":{""content"":{""title"":""Sign up for our newsletter"",""description"":""Get exclusive offers when you sign up to receive promotional and marketing email"",""first_name_label"":""First"",""last_name_label"":""Last"",""email_label"":""Email Address"",""birthday_month_label"":""Month"",""birthday_label"":""Birthday"",""button_text"":""Subscribe"",""secondary_button_text"":null,""dismiss_link"":""No Thanks!""},""optionalContent"":{""title"":true,""text"":true,""name"":true,""birthday"":false,""actionButton"":true,""dismissLink"":true,""closeIcon"":true},""textDisplay"":{""confirmation"":{""size"":""16px"",""lineHeight"":""24px"",""letterSpacing"":""0px"",""font"":""Karla, Sans Serif""},""title"":{""size"":""50px"",""lineHeight"":""60px"",""letterSpacing"":""0px"",""align"":""center"",""font"":""Karla, Sans Serif""},""text"":{""size"":""16px"",""lineHeight"":""24px"",""letterSpacing"":""0px"",""align"":""center"",""font"":""Karla, Sans Serif""},""button"":{""font"":""Karla, Sans Serif"",""lineHeight"":""40px"",""letterSpacing"":""0px"",""size"":""16px""},""dismissLink"":{""size"":""16px""}},""colors"":{""title"":""rgb(255,255,255)"",""text"":""rgb(255,255,255)"",""anchor"":""rgb(255,255,255)"",""anchor_icon"":""rgb(255,255,255)"",""anchor_text"":""rgb(255,255,255)"",""input_border"":""rgb(201,205,207)"",""input_text"":""rgb(0,0,0)"",""button"":""rgb(185,108,255)"",""button_text"":""rgb(255,255,255)"",""secondary_button"":""rgb(0,0,0)"",""dismiss_text"":""rgb(255,255,255)"",""closeIcon"":""rgb(255,255,255)"",""background"":""rgba(0,0,0,0.1)""},""image"":{""originalImgUrl"":""\/\/p.weebly.com\/lead-form\/photo-bg-placeholder.png"",""src"":""\/\/p.weebly.com\/lead-form\/photo-bg-placeholder.png"",""position"":null,""scale"":null,""height"":null,""width"":null},""overlay"":10},""confirmation"":{""value"":""Thank you! Your information has been submitted."",""linkType"":null,""type"":""message"",""linkName"":null,""newTab"":false},""anchor"":{""style"":""icon"",""align"":""right"",""text"":""Subscribe to our Newsletter""},""control"":{""exitIntent"":false,""timing"":{""type"":{""timer"":true,""scroll"":false},""delay"":{""timer"":0}},""displayLimit"":0,""stoppingConditions"":{""untilClosed"":false,""untilActionBtnClicked"":true},""duration"":{""enabled"":false,""start"":null,""end"":null},""deviceTypes"":""all"",""optIn"":true},""notification_emails"":null,""is_new"":true,""features"":{""hasLegacyTextLineHeight"":false,""hasLegacyTextLetterSpacing"":false,""hasLegacyTextFontSize"":false,""hasLegacyTitleLineHeight"":false,""hasLegacyTitleLetterSpacing"":false,""hasLegacyTitleFontSize"":false,""hasLegacyAlignment"":false,""hasLegacyButtonFontSize"":false,""hasLegacyButtonLineHeight"":false,""hasLegacyButtonLetterSpacing"":false,""hasLegacyConfirmationFontSize"":false,""hasLegacyConfirmationLineHeight"":false,""hasLegacyConfirmationLetterSpacing"":false,""hasLegacyFontSelection"":false}}"

recipients
id,email,name,ip_address,locale,opt_in_status,metadata,sent,delivered,opened,clicked,unsubscribed

sender_identities
id,email,name,address,email_verified,metadata

smart_group_recipients
id,email,name

social_ads
id,name,title,body,images,audience_settings,campaign_settings,currency_code,revenue

social_profiles
id,username,metadata

